Song,Album Release Date,Hot100 Ranking Year,Decade,Season
Speed of Sound,2005-06-07,2005,new millennium,Summer
Beauty And A Beat,2012-06-15,2013,new millennium,Summer
Fireflies,2009-01-01,2009,new millennium,Winter
So Gone,2003-06-07,2003,new millennium,Summer
You And Me Against The World,1987-01-01,1987,Eighties,Winter
Shortie Like Mine (feat. Chris Brown & Johntá Austin),2006-12-18,2007,new millennium,Winter
If It Makes You Happy,1996-01-01,1997,Nighnties,Winter
If I Ain't Got You,2003-12-02,2004,new millennium,Winter
Back in Blood (feat. Lil Durk),2021-02-05,2021,new millennium,Winter
Sideshow,1974-06-08,1974,Seventies,Summer
I Do (Cherish You),1998-01-01,1999,Nighnties,Winter
Sad Movies Make Me Cry,2011-12-08,2011,new millennium,Winter
Kiss and Say Goodbye,1976-04-06,1976,Seventies,Spring
LoveGame,2008-01-01,2009,new millennium,Winter
People Are Crazy,2008-01-01,2009,new millennium,Winter
I Wanna Dance with Somebody (Who Loves Me),1987-06-02,1987,Eighties,Summer
Jesus Walks,2004-02-10,2004,new millennium,Winter
Tiger,1959-12-03,1959,Fifties,Winter
That's The Way I've Always Heard It Should Be,1971-03-01,1971,Seventies,Spring
Goodbye Baby,1990-03-12,1990,Nighnties,Spring
Southern Nights,1977-01-01,1977,Seventies,Winter
Swearin' to God - Single Version,2003-01-14,2003,new millennium,Winter
A Million To One,2006-02-13,2006,new millennium,Winter
Young Girl,1968-05-12,1968,Sixties,Spring
Hello Walls,2000-01-01,2000,new millennium,Winter
Turn the Beat Around,1976-02-01,1976,Seventies,Winter
Why I Love You So Much,1995-07-18,1996,Nighnties,Summer
"Let Me Go, Lover",1950-04-12,1955,Fifties,Spring
Cross Over The Bridge,1960-09-07,1960,Sixties,Autumn
On The Dark Side,1983-03-31,1984,Eighties,Spring
Danny's Song,1973-07-10,1973,Seventies,Summer
Love Hurts,1975-01-01,1976,Seventies,Winter
Let's Go (feat. Ne-Yo),2012-10-29,2012,new millennium,Autumn
Bad Girls,2013-01-01,2019,new millennium,Winter
Rock with You - Single Version,1979-08-10,1980,Seventies,Summer
Monkey - Remastered,1987-10-30,1988,Eighties,Autumn
Because the Night - Live Unplugged,1993-10-26,1994,Nighnties,Autumn
Dear One,2012-08-09,2012,new millennium,Summer
I Want Her,2004-01-13,2004,new millennium,Winter
The One That Got Away,2010-01-01,2012,new millennium,Winter
Back for Good - Radio Mix,1995-05-08,1996,Nighnties,Spring
Thinkin' Bout It,2010-08-29,2010,new millennium,Summer
"Love Me Like You Do - From ""Fifty Shades Of Grey""",2015-11-06,2015,new millennium,Autumn
Really Really,2016-01-29,2016,new millennium,Winter
On The Street Where You Live,2012-01-01,2012,new millennium,Winter
Feel like Makin' Love - 2015 Remaster,1975-03-06,1975,Seventies,Spring
Bitter Sweet Symphony,1997-09-29,1998,Nighnties,Autumn
Bridge Over Troubled Water,1970-01-26,1970,Seventies,Winter
Macarena - Bayside Boys Remix,2001-03-19,2001,new millennium,Spring
Rise,1979-09-01,1980,Seventies,Autumn
Slow Motion,2003-01-01,2004,new millennium,Winter
American Kids,2014-09-22,2014,new millennium,Autumn
Case Of The Ex (Whatcha Gonna Do),2000-01-01,2001,new millennium,Winter
Bent,2000-05-23,2000,new millennium,Spring
We Don't Talk Anymore (feat. Selena Gomez),2016-01-29,2016,new millennium,Winter
Hitchin' A Ride,2011-09-29,2011,new millennium,Autumn
You Might Think,1984-05-03,1984,Eighties,Spring
If the World Was Ending (feat. Julia Michaels),2021-06-25,2021,new millennium,Summer
The Story of Nanette: Nanette / Alabama Song / Drinkin' Again / Mr. Rockefeller / Do You Wanna Dance - Live,1977-06-01,1977,Seventies,Summer
Rompe,2005-01-01,2006,new millennium,Winter
I'll Dance at Your Wedding,2003-04-01,2003,new millennium,Spring
When (Originally Performed By The Kalin Twins) [Full Vocal Version],2013-04-30,2013,new millennium,Spring
Daddy Don't You Walk So Fast,1994-01-01,1994,Nighnties,Winter
The Woo (feat. 50 Cent & Roddy Ricch),2020-07-03,2020,new millennium,Summer
It Don't Come Easy,1973-01-01,1973,Seventies,Winter
Sorry,2006-04-11,2008,new millennium,Spring
Girls Like You (feat. Cardi B) - Cardi B Version,2018-06-15,2018,new millennium,Summer
I Wanna Be Around...,1963-02-18,1963,Sixties,Winter
Oh How Happy,1987-01-01,1987,Eighties,Winter
Kiss Me Thru The Phone,2008-01-01,2009,new millennium,Winter
The Wonder of You,2007-04-10,2007,new millennium,Spring
Things,1962-06-13,1962,Sixties,Summer
Crazy,2006-05-02,2006,new millennium,Spring
Baby Boy (feat. Sean Paul),2003-06-24,2003,new millennium,Summer
Jump (For My Love),1983-11-06,1984,Eighties,Autumn
Don't Stop Till You Get Enough (Karaoke in the style of Michael Jackson),2009-09-21,2009,new millennium,Autumn
The Last Time - Mono Version,1965-07-30,1965,Sixties,Summer
Can't Hold Us Down (feat. Lil' Kim),2002-07-19,2003,new millennium,Summer
American Honey,2010-01-01,2010,new millennium,Winter
Adore You,2019-12-13,2020,new millennium,Winter
Just A Kiss,2011-09-13,2011,new millennium,Autumn
Scar Tissue,1999-06-08,1999,Nighnties,Summer
Peg,1977-01-01,1978,Seventies,Winter
Dancing With A Stranger,2022-10-14,2022,new millennium,Autumn
Hey There,1977-01-01,1977,Seventies,Winter
I Remember You,1989-01-24,1990,Eighties,Winter
I Wanna Love You Forever,1999-11-16,2000,Nighnties,Autumn
Give Your Heart a Break,2011-01-01,2012,new millennium,Winter
This Is How We Do It,1995-01-01,1995,Nighnties,Winter
Bad (feat. Tiara Thomas),2013-02-05,2013,new millennium,Winter
Giving Him Something He Can Feel,1992-03-24,1992,Nighnties,Spring
Gangsta's Paradise,1995-11-07,1995,Nighnties,Autumn
I Got You Babe,1965-02-03,1965,Sixties,Winter
Fame,1980-05-16,1980,Eighties,Spring
Lose You To Love Me,2020-01-10,2020,new millennium,Winter
"TO THE MOON (feat. Fivio Foreign, Russ Millions & Sam Tompkins) - Drill Remix",2022-04-29,2022,new millennium,Spring
Kissin' Time,2022-01-14,2022,new millennium,Winter
When You Were Sweet Sixteen,2010-10-26,2010,new millennium,Autumn
Fuck Wit Dre Day (And Everybody's Celebratin'),1992-12-15,1993,Nighnties,Winter
I Can't Stop Loving You,2009-06-02,2009,new millennium,Summer
Don't Wanna Try - Karaoke Version In the Style of Frankie J.,2010-12-01,2010,new millennium,Winter
Don't Cry for Me Argentina (Originally Performed by Madonna) [Karaoke Version] - 1997,2013-03-22,2013,new millennium,Spring
Traces,1969-01-01,1969,Sixties,Winter
Meant to Live,2003-06-17,2004,new millennium,Summer
(I Just) Died In Your Arms,1986-01-01,1987,Eighties,Winter
bad guy,2019-03-29,2019,new millennium,Spring
The Boy From New York City,2006-01-01,2006,new millennium,Winter
Shake Ya Ass,2000-09-26,2000,new millennium,Autumn
pushin P (feat. Young Thug),2022-01-13,2022,new millennium,Winter
Location,2017-04-27,2017,new millennium,Spring
Bring It All to Me (feat. *NSYNC),1999-05-28,2000,Nighnties,Spring
Wanted,2011-05-09,2012,new millennium,Spring
The Rose,1979-05-07,1980,Seventies,Spring
It's Not For Me To Say,1958-03-17,1958,Fifties,Spring
Goin' Crazy,2005-01-01,2005,new millennium,Winter
The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,2010-01-01,2010,new millennium,Winter
She's Playing Hard To Get,1990-04-04,1992,Nighnties,Spring
Hot Boy,2014-07-25,2014,new millennium,Summer
Even If It Breaks Your Heart,2011-01-01,2012,new millennium,Winter
Fallin',2001-06-05,2001,new millennium,Summer
Catch a Falling Star (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),1975-09-30,1975,Seventies,Autumn
Sexy Love,2006-01-01,2006,new millennium,Winter
Angel,2000-08-08,2001,new millennium,Summer
Signs - Live At The Trocadero / 1990,1990-01-01,1991,Nighnties,Winter
Still Water (Love),2008-06-27,2008,new millennium,Summer
An American Dream,1979-01-01,1980,Seventies,Winter
I Wanna Know,2000-04-18,2000,new millennium,Spring
Hoop-Dee-Doo,2010-10-26,2010,new millennium,Autumn
I've Been In Love Before - Edit Version / 1987,2022-04-22,2022,new millennium,Spring
The Twist,2020-06-19,2020,new millennium,Summer
Your Precious Love,2000-04-11,2000,new millennium,Spring
Society's Child (Baby I've Been Thinking),1967-01-01,1967,Sixties,Winter
I Can See Clearly Now - Edit,1972-03-05,1972,Seventies,Spring
Lesson In Leavin’ - Live Acoustic,2010-11-09,2010,new millennium,Autumn
Never Been To Spain - Single Version,1971-04-07,1972,Seventies,Spring
Hell Yeah,2022-10-17,2022,new millennium,Autumn
Beer For My Horses,2002-01-01,2003,new millennium,Winter
Have You Forgotten?,2003-01-01,2003,new millennium,Winter
I Need Your Love Tonight - Live,1959-11-13,1959,Fifties,Autumn
Last Night (feat. Keyshia Cole),2006-10-16,2007,new millennium,Autumn
The Boll Weevil Song,1989-01-01,1989,Eighties,Winter
Jimmy Mack,1966-10-09,1967,Sixties,Autumn
Emotion,1977-12-06,1978,Seventies,Winter
A Lover's Question,2005-04-19,2005,new millennium,Spring
We Found Love,2011-11-18,2012,new millennium,Autumn
No Guidance (feat. Drake),2019-06-28,2019,new millennium,Summer
she's all i wanna be,2022-05-27,2022,new millennium,Spring
One Number Away,2017-06-02,2018,new millennium,Summer
Surf City,2010-01-01,2010,new millennium,Winter
"Whenever, Wherever",2001-11-13,2002,new millennium,Autumn
Without You (feat. Usher),2011-08-24,2012,new millennium,Summer
Never Tear Us Apart,1987-04-08,1988,Eighties,Spring
Let's Get Serious - Single Version,1993-01-15,1993,Nighnties,Winter
Applause,2013-11-11,2013,new millennium,Autumn
God is a woman,2018-08-17,2018,new millennium,Summer
Hey Brother,2013-01-01,2014,new millennium,Winter
Rock That Body,2023-02-01,2023,new millennium,Winter
Still - Single Version,2006-01-01,2006,new millennium,Winter
Don't Mess With My Man (feat. Brian Casey & Brandon Casey),2002-12-10,2003,new millennium,Winter
(Love Is) Thicker Than Water,1977-09-09,1978,Seventies,Autumn
To Each His Own,1998-06-16,1998,Nighnties,Summer
Same Old Love,2015-10-09,2016,new millennium,Autumn
Ain't That A Shame,1964-01-01,1964,Sixties,Winter
Two of Hearts,1986-08-18,1986,Eighties,Summer
In Da Club,2003-02-06,2003,new millennium,Winter
Red Roses For A Blue Lady,2000-02-08,2000,new millennium,Winter
To All the Girls I've Loved Before (Originally Performed by Julio Iglesias & Willie Nelson) [Karaoke Version],2016-06-16,2016,new millennium,Summer
Show Me The Way,1990-01-01,1991,Nighnties,Winter
Walking In Rhythm,1974-11-01,1975,Seventies,Autumn
Evil Woman,1975-10-01,1976,Seventies,Autumn
Walk Away Renee,1967-02-01,1967,Sixties,Winter
Cold Sweat,1972-11-20,1972,Seventies,Autumn
Something's Burning,1992-01-01,1992,Nighnties,Winter
Didn’t I (Blow Your Mind This Time),2011-11-15,2011,new millennium,Autumn
I Tried,2007-04-05,2007,new millennium,Spring
The Time (Dirty Bit),2023-02-01,2023,new millennium,Winter
How's It Going to Be,1997-04-08,1998,Nighnties,Spring
Our Lips Are Sealed - Single Version,1981-01-01,1982,Eighties,Winter
Moonlight,2018-03-16,2018,new millennium,Spring
Deacon Blues,1977-01-01,1978,Seventies,Winter
Thunder,2017-06-23,2017,new millennium,Summer
Sweet Thing,1975-01-01,1976,Seventies,Winter
Don't Lie (Originally Performed By the Black Eyed Peas) - Tribute Version,2014-04-16,2014,new millennium,Spring
A Whiter Shade of Pale - Original Single Version,2019-05-03,2019,new millennium,Spring
Let Me Love You,2004-09-21,2005,new millennium,Autumn
Tonite's Tha Night,1995-04-01,1996,Nighnties,Spring
Sometimes When We Touch,1977-04-06,1978,Seventies,Spring
Let Me Love You Tonight,1980-01-01,1980,Eighties,Winter
Rhythm Of The Night,1985-07-08,1985,Eighties,Summer
The World Is A Ghetto,1994-10-18,1994,Nighnties,Autumn
Back Stabbers,1972-01-01,1972,Seventies,Winter
"Um, Um, Um, Um, Um, Um",2014-08-18,2014,new millennium,Summer
Gone Till November (feat. The New York Philharmonic Orchestra),1997-06-24,1998,Nighnties,Summer
Round and Round - Soul Mix Edit,1991-04-10,1991,Nighnties,Spring
Judy in Disguise (with Glasses),1967-10-19,1968,Sixties,Autumn
Trip,2018-10-12,2018,new millennium,Autumn
"De Do Do Do, De Da Da Da",1980-10-03,1981,Eighties,Autumn
Dawn (Go Away),2003-01-14,2003,new millennium,Winter
Cradle Of Love,1990-05-01,1990,Nighnties,Spring
Break Up To Make Up,1975-03-10,1975,Seventies,Spring
My True Story,1961-12-24,1961,Sixties,Winter
Primrose Lane,1961-06-11,1961,Sixties,Summer
More Than My Hometown,2021-01-08,2021,new millennium,Winter
That Girl,1996-01-01,1996,Nighnties,Winter
Tell Laura I Love Her,1958-11-26,1960,Fifties,Autumn
The Old Lamp-Lighter,2000-05-09,2000,new millennium,Spring
Stick up,2023-01-25,2023,new millennium,Winter
Linda,1975-09-05,1975,Seventies,Autumn
All I Need Is a Miracle,1985-10-05,1986,Eighties,Autumn
Love To Love You Baby,1975-08-27,1976,Seventies,Summer
"Painted, Tainted Rose - Remastered",1992-01-01,1992,Nighnties,Winter
Automatic,1983-04-01,1984,Eighties,Spring
The Look Of Love,1966-01-01,1968,Sixties,Winter
Love Never Felt So Good - DM CLASSIC RADIO MIX,2014-07-08,2014,new millennium,Summer
Sand In My Boots,2021-01-08,2022,new millennium,Winter
Leave Before You Love Me,2022-06-14,2022,new millennium,Summer
One Right Now,2022-08-31,2022,new millennium,Summer
Getaway,1976-09-01,1976,Seventies,Autumn
The Fool On The Hill,1987-01-01,1987,Eighties,Winter
Holiday,2017-11-17,2017,new millennium,Autumn
Theme From Mahogany (Do You Know Where You're Going To) - Single Version,1976-02-10,1976,Seventies,Winter
Crimson and Clover,1981-11-18,1982,Eighties,Autumn
Chattanooga Choo Choo,1939-03-11,1946,Thirties,Spring
Catch Me (I'm Falling),1988-01-01,1988,Eighties,Winter
My Adobe Hacienda,1996-01-01,1996,Nighnties,Winter
Diane,1999-01-01,1999,Nighnties,Winter
I Got My Mind Made Up (You Can Get It Girl),1979-06-05,1979,Seventies,Summer
Bugatti,2013-01-01,2013,new millennium,Winter
KIss Of Fire,1996-01-01,1996,Nighnties,Winter
Freeway Of Love,1985-06-11,1985,Eighties,Summer
Missing You,2001-01-01,2001,new millennium,Winter
Yes!,2000-06-14,2000,new millennium,Summer
Stand - Remastered,1988-11-07,1989,Eighties,Autumn
Out of Touch,2001-01-23,2001,new millennium,Winter
Sister Golden Hair,1975-05-14,1975,Seventies,Spring
Do The Bird,1962-01-01,1963,Sixties,Winter
In My Blood,2018-05-25,2018,new millennium,Spring
Please Don't Go,2010-08-09,2011,new millennium,Summer
I Wish It Would Rain,1968-05-06,1968,Sixties,Spring
(I Can't Help) Falling In Love With You,2023-01-07,2023,new millennium,Winter
Is This Love,1986-01-01,1987,Eighties,Winter
Outa-Space,1971-01-01,1972,Seventies,Winter
I Will Wait,2012-09-25,2013,new millennium,Autumn
Middle,2016-08-05,2016,new millennium,Summer
Flashdance...What a Feeling - Radio Edit,1983-11-02,1983,Eighties,Autumn
Solitaire (Live),2023-05-15,2023,new millennium,Spring
Live Like We're Dying,2009-11-16,2010,new millennium,Autumn
Hero,1993-08-31,1994,Nighnties,Summer
Feelings - Live,1993-04-07,1993,Nighnties,Spring
Till I Waltz Again With You,1952-12-01,1953,Fifties,Winter
I'm Still in Love with You (Originally Performed by Al Green) - Karaoke Version,2015-04-23,2015,new millennium,Spring
Desert Rose,1999-01-01,2000,Nighnties,Winter
Stayin Alive,2020-12-11,2020,new millennium,Winter
You Need To Calm Down,2019-08-23,2019,new millennium,Summer
Don't You Want Me,1987-01-01,1988,Eighties,Winter
I'm Not the Only One - As Originally Performed By Sam Smith,2015-03-20,2015,new millennium,Spring
My Whole World Ended (The Moment You Left Me),1969-01-01,1969,Sixties,Winter
Dance (A$$) Remix,2011-01-01,2012,new millennium,Winter
It Wasn't Me,2000-08-08,2001,new millennium,Summer
Some Kind Of Wonderful - Remastered 1999,1999-01-01,1999,Nighnties,Winter
Fight Song,2016-01-01,2016,new millennium,Winter
Just Another Dream - 7” US Mix,1990-08-14,1991,Nighnties,Summer
"I'm On Fire - Live at Giants Stadium, E. Rutherford, NJ - August 1985",1986-11-10,1986,Eighties,Autumn
The Village of St. Bernadette - 1959 #7 Billboard chart hit,1959-07-14,1960,Fifties,Summer
Romeo - Radio Edit,1990-01-01,1990,Nighnties,Winter
Good Old-Fashioned Lover Boy - Remastered 2011,1976-12-10,2001,Seventies,Winter
Don't Let Go (Love),1997-06-17,1997,Nighnties,Summer
If You Love Me (Really Love Me),2002-07-09,2002,new millennium,Summer
Rags to Riches,2011-11-23,2011,new millennium,Autumn
Breaking Up Is Hard to Do,1960-12-30,1976,Sixties,Winter
I Miss You,1984-01-01,1986,Eighties,Winter
Drive - 2017 Remaster,1984-03-11,1984,Eighties,Spring
Better Love Next Time,1979-10-05,1980,Seventies,Autumn
Pimpin' All Over The World,2004-01-01,2005,new millennium,Winter
Happy,2002-01-01,2002,new millennium,Winter
So Sad (To Watch Good Love Go Bad) - 2007 Remaster,1960-01-01,1960,Sixties,Winter
Proud Mary,1970-04-19,1971,Seventies,Spring
I'm the Only One (Originally Performed by Melissa Etheridge) [Karaoke Version],2013-03-15,2013,new millennium,Spring
Beautiful Crazy,2018-06-01,2019,new millennium,Summer
Walkin' My Baby Back Home,1991-09-03,1991,Nighnties,Autumn
More Money for You and Me - Medley,2007-11-27,2007,new millennium,Autumn
Let It Out (Let It All Hang Out),2006-06-27,2006,new millennium,Summer
Baby Love,1964-08-31,1964,Sixties,Summer
Don’t Leave Me This Way (Re-Recorded),2007-08-07,2007,new millennium,Summer
The Martian Hop,2012-07-03,2012,new millennium,Summer
The Wah Watusi,1962-01-01,1962,Sixties,Winter
Don't Look Back (Originally Performed by Boston) [Karaoke Version],2015-08-11,2015,new millennium,Summer
Never Be Like You (feat. Kai),2016-05-27,2016,new millennium,Spring
Oh!,2012-09-11,2012,new millennium,Autumn
Can't Get Used To Losing You (Karaoke in the style of Andy Williams),2009-09-21,2009,new millennium,Autumn
Pon de Replay,2005-08-29,2005,new millennium,Summer
Nothing's Gonna Stop Us Now,1987-07-27,1987,Eighties,Summer
I Pledge My Love,1995-03-14,1995,Nighnties,Spring
Don't Be Cruel (In the Style of Cheap Trick) [Karaoke Version],2013-05-16,2013,new millennium,Spring
Always Be My Baby,1995-10-03,1996,Nighnties,Autumn
Con Calma,2019-01-24,2019,new millennium,Winter
Don't Know Why - In the Style of Norah Jones (Karaoke Version Teaching Vocal),2010-02-01,2010,new millennium,Winter
Maniac,1983-04-11,1983,Eighties,Spring
The Promise,1988-01-01,1989,Eighties,Winter
Groovin',1967-05-10,1967,Sixties,Spring
You Ain't Seen Nothing Yet,1974-04-07,1975,Seventies,Spring
Can't Hold Us (feat. Ray Dalton),2012-10-09,2013,new millennium,Autumn
Lonely People,1974-05-12,1975,Seventies,Spring
Down,2016-06-24,2017,new millennium,Summer
Just the Way You Are,2010-10-05,2011,new millennium,Autumn
Killing Me Softly With His Song,1973-01-01,1973,Seventies,Winter
Too Much,1997-01-01,1998,Nighnties,Winter
If You Could Read My Mind,1970-04-07,1971,Seventies,Spring
Goodbye Girl,1978-03-03,1978,Seventies,Spring
Me and You and a Dog Named Boo,1996-04-19,1996,Nighnties,Spring
Need You Tonight,1987-02-10,1988,Eighties,Winter
What Happened To Virgil (feat. Gunna),2022-03-11,2022,new millennium,Spring
Too Good At Goodbyes,2017-11-03,2017,new millennium,Autumn
Slam,1993-03-30,1993,Nighnties,Spring
Kiss Me More (feat. SZA),2021-04-09,2021,new millennium,Spring
Couldn't Get it Right (Originally Performed by Climax Blues Band) [Karaoke Version],2015-08-11,2015,new millennium,Summer
Mr. Bojangles - Remastered 2001,2001-01-01,2001,new millennium,Winter
Gotham City - Remix,2014-05-19,2014,new millennium,Spring
Help! - Remastered 2009,1965-08-06,1965,Sixties,Summer
Family Affair,2001-08-28,2002,new millennium,Summer
