Song,Artist(s) Genres,Genres count,Weight,total weight of genres
Summer Nights - From “Grease”,"{' soft rock', ' hollywood', 'australian dance', ' disco', ' mellow gold', ' adult standards'}",6,2258,13548
"Somewhere Out There - From ""An American Tail"" Soundtrack","{'heartland rock', ' soft rock', ' quiet storm', ' mellow gold', ' folk rock', ' singer-songwriter', ' country rock', ' folk'}",8,3122,24976
As Good As I Once Was,"{' classic oklahoma country', 'contemporary country', ' country', ' country road'}",4,377,1508
Anytime - Remastered,"{'adult standards', ' easy listening'}",2,312,624
Frozen,"{' pop', ' dance pop', 'bass trap'}",3,1133,3399
I Want Crazy - Encore,"{' country', ' contemporary country', ' modern country rock', 'country road'}",4,498,1992
50 Ways to Say Goodbye,"{' pop rock', ' neo mellow', ' dance pop', 'pop'}",4,1320,5280
Unwell,"{'neo mellow', ' post-grunge', ' pop rock'}",3,275,825
If Today Was Your Last Day,"{' canadian rock', 'alternative metal', ' post-grunge'}",3,118,354
Steppin' Out,"{' new romantic', 'new wave pop', ' new wave', ' permanent wave', ' mellow gold', ' singer-songwriter', ' sophisti-pop', ' power pop'}",8,2086,16688
All I Want,{'pop rock'},1,41,41
Night Moves,"{'heartland rock', ' detroit rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' singer-songwriter', ' country rock', ' hard rock'}",10,4621,46210
Hate Me,{'san marcos tx indie'},1,1,1
Dance Ballerina Dance,"{' british dance band', ' deep adult standards', 'swing', ' vaudeville'}",4,90,360
Roses,"{' dirty south rap', ' rap', 'southern hip hop', ' hip hop', ' atl hip hop', ' old school atlanta hip hop'}",6,1634,9804
The Sweetest Days,"{' urban contemporary', 'contemporary r&b', ' quiet storm'}",3,1039,3117
She's so High,{'pop rock'},1,41,41
My Way (feat. Monty),"{' viral trap', ' trap', ' rap', 'southern hip hop', ' pop rap', ' new jersey rap'}",6,1403,8418
Hold Your Head Up,"{' southern rock', ' symphonic rock', 'british blues', ' country rock', ' progressive rock'}",5,453,2265
Dynamite,"{' k-pop', ' k-pop boy group', 'pop'}",3,593,1779
ABC,"{'motown', ' soul'}",2,410,820
Just Kickin' It,"{' r&b', ' contemporary r&b', 'urban contemporary', ' atl hip hop', ' girl group'}",5,1341,6705
O,"{' urban contemporary', ' trap', ' r&b', ' rap', ' southern hip hop', 'hip pop', ' dance pop'}",7,3134,21938
All Time Low,{'indie pop rap'},1,2,2
(You’re My) Soul & Inspiration,"{' rock-and-roll', ' adult standards', 'folk rock', ' brill building pop', ' rockabilly'}",5,1261,6305
Something Just Like This,"{' permanent wave', ' tropical house', ' electropop', 'pop'}",4,831,3324
deja vu,{'pop'},1,588,588
Let's Wait Awhile,"{' urban contemporary', ' r&b', 'dance pop'}",3,1637,4911
Drift Away - Single Version,{'northern soul'},1,14,14
Gloria,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock'}",4,1533,6132
No Other Love (with Henri René & His Orchestra and Chorus),"{'adult standards', ' easy listening'}",2,312,624
Total Eclipse of the Heart,"{' new wave pop', ' soft rock', 'europop'}",3,988,2964
Thank The Lord For The Night Time,"{' yacht rock', ' soft rock', 'folk rock', ' mellow gold', ' singer-songwriter', ' heartland rock', ' brill building pop', ' adult standards'}",8,2938,23504
What Have I Done to Deserve This? (with Dusty Springfield) - 2018 Remaster,"{' synthpop', ' new romantic', ' art pop', ' new wave', 'soul', ' dance rock', ' permanent wave', ' british invasion', ' new wave pop', ' adult standards'}",10,1915,19150
Counting Stars,"{' piano rock', 'pop'}",2,652,1304
Auf Wiederseh'n Sweetheart - 2017 Version,{'music hall'},1,4,4
Blame It on the Rain,"{' freestyle', ' new jack swing', 'new wave pop'}",3,525,1575
Girlfight - radio edit feat. Big Boi & Lil Jon,"{' urban contemporary', ' dirty south rap', ' trap', ' r&b', ' crunk', ' hip hop', ' southern hip hop', ' pop rap', 'hip pop', ' atl hip hop', ' old school atlanta hip hop', ' dance pop'}",12,3868,46416
(I Love You) For Sentimental Reasons,"{' lounge', ' vocal jazz', 'swing', ' adult standards'}",4,628,2512
Just My Imagination (Running Away With Me),"{' memphis soul', 'memphis soul', ' motown', 'motown', ' soul'}",5,735,3675
All She Wants To Do Is Dance,"{'heartland rock', ' soft rock', ' classic rock', ' album rock', ' mellow gold', ' singer-songwriter', ' yacht rock'}",7,3584,25088
We Don't Have To Take Our Clothes Off,,0,0,0
After The Lovin',{'adult standards'},1,111,111
Fire and Rain - 2019 Remaster,"{'heartland rock', ' soft rock', ' classic rock', ' mellow gold', ' folk rock', ' singer-songwriter', ' folk'}",7,3287,23009
Second Chance,"{'alternative metal', ' nu metal', ' post-grunge'}",3,134,402
Stereo Hearts (feat. Adam Levine),"{' deep talent show', ' dance pop', 'pop rap'}",3,581,1743
You’ve Lost That Lovin Feelin’,"{' rock-and-roll', 'folk rock', ' brill building pop', ' adult standards', ' rockabilly'}",5,1261,6305
G.H.E.T.T.O.U.T.,"{' contemporary r&b', ' new jack swing', ' r&b', 'girl group'}",4,1130,4520
It Ain't Me Babe (Stereo),"{' psychedelic rock', ' rock-and-roll', 'folk rock', ' classic rock', ' bubblegum pop'}",5,1594,7970
Heaven,"{'contemporary r&b', ' boy band'}",2,269,538
Singing the Blues,"{' deep adult standards', 'rock-and-roll'}",2,172,344
The Fly - 2016 Re-Recorded Version,"{' rock-and-roll', 'rockabilly'}",2,448,896
The Little Shoemaker,{'vocal harmony group'},1,31,31
Don’t Let Go (Love),"{' urban contemporary', ' r&b', ' contemporary r&b', ' new jack swing', 'hip pop', ' girl group'}",6,2037,12222
Soul Finger,"{' classic soul', ' post-disco', ' p funk', ' southern soul', ' funk', ' memphis soul', ' popping', 'disco', ' motown', ' soul'}",10,1387,13870
Because of You,"{'canadian singer-songwriter', 'lilith ', ' easy listening', 'queer country ', 'vocal jazz ', 'singer-songwriter ', ' canadian country', 'canadian pop ', ' ""womens music"" ', 'folk ', ' new wave pop', ' adult standards', 'lounge '}",13,849,11037
Shower Me With Your Love,{'contemporary r&b'},1,171,171
Ain't No Mountain High Enough (Originally Performed By Marvin Gaye & Tammi Terrell) [Karaoke Backing Track],,0,0,0
Good Girl,"{' classic oklahoma country', 'dance pop', ' country dawn', ' country', ' contemporary country'}",5,755,3775
Flower Shops (feat. Morgan Wallen),"{' contemporary country', 'modern country pop'}",2,160,320
Pink Shoe Laces,{'deep adult standards'},1,52,52
I’ll Never Find Another You,{'british invasion'},1,37,37
Take A Bow,"{'pop', ' urban contemporary', 'urban contemporary', ' pop', ' barbadian pop'}",5,1885,9425
Love You Inside Out,"{'soft rock', ' disco'}",2,571,1142
Would I Lie to You? - Remastered Version,"{' synthpop', ' new romantic', 'new wave pop', ' new wave', ' soft rock', ' dance rock', ' rock', ' rock keyboard', ' album rock', ' singer-songwriter', ' sophisti-pop'}",11,3387,37257
Ass Back Home (feat. Neon Hitch),"{' electropop', ' dance pop', 'pop rap'}",3,605,1815
Sign of the Times,{'pop'},1,588,588
Poetry In Motion - 1960 #2 Billboard chart hit,"{' merseybeat', ' rock-and-roll', 'doo-wop', ' nashville sound'}",4,601,2404
Diamonds and Pearls,"{'funk rock', ' funk', ' rock', ' synth funk', ' minneapolis sound'}",5,962,4810
In A Minute,"{' atl trap', 'trap', ' atl hip hop', ' rap'}",4,870,3480
Missing You,"{'heartland rock', ' new romantic', ' new wave', ' soft rock', ' album rock', ' mellow gold', ' new wave pop'}",7,2936,20552
The Great Escape,"{' neon pop punk', 'pop punk'}",2,46,92
You Got Lucky,"{'heartland rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' singer-songwriter', ' hard rock'}",8,4374,34992
No Air (feat. Chris Brown),"{' post-teen pop', ' r&b', ' rap', 'dance pop', ' pop'}",5,2268,11340
Hold Me Now,"{' synthpop', ' new romantic', 'new wave pop', ' soft rock', ' new wave'}",5,1690,8450
Because Of You,"{' library music', ' laboratorio', 'easy listening', ' exotica', ' lounge'}",5,179,895
I Like That,"{' dirty south rap', ' r&b', ' rap', 'gangster rap', ' crunk', ' hardcore hip hop', ' hip hop', ' g funk', ' hip pop', ' west coast rap', ' pop rap', ' atl hip hop', ' southern hip hop'}",13,3255,42315
What a Girl Wants,"{'dance pop', ' pop'}",2,937,1874
Uh Huh,"{' urban contemporary', ' r&b', ' boy band', ' contemporary r&b', 'hip pop'}",5,1816,9080
Lovesong - 2010 Remaster,"{' rock', ' permanent wave', ' uk post-punk', 'new wave'}",4,885,3540
('Till) I Kissed You,"{' rock-and-roll', ' adult standards', 'folk rock', ' sunshine pop', ' mellow gold', ' rockabilly'}",6,1952,11712
Said Sum,"{' trap', ' rap', 'southern hip hop', ' tennessee hip hop', ' memphis hip hop'}",5,1037,5185
Up,"{' rap', 'pop'}",2,1208,2416
I Take It Back,{'nashville sound'},1,20,20
Daydream,"{' psychedelic rock', ' classic soul', ' rock-and-roll', ' r&b', ' southern soul', ' memphis soul', ' folk', ' pop', ' urban contemporary', ' instrumental funk', ' soft rock', 'folk rock', ' classic rock', 'dance pop', ' mellow gold', ' country rock', 'instrumental soul', ' blues', ' soul', ' girl group'}",20,6747,134940
Love Me,"{' toronto rap', ' trap', 'southern hip hop', ' rap', ' new orleans rap', ' canadian hip hop', ' hip hop', ' canadian pop', ' pop rap', ' atl hip hop'}",10,2339,23390
I’m a Mess (with YUNGBLUD),"{'british indie rock', ' rock', ' modern rock', ' pov: indie', ' canadian pop', ' candy pop', ' pop'}",7,1549,10843
Blue Ridge Mountains,"{' indie rock', ' indietronica', ' chamber pop', ' modern rock', 'stomp and holler', ' singer-songwriter', ' seattle indie', ' folk'}",8,710,5680
Coming Home,"{'viral pop', ' piano rock', ' pop rap'}",3,463,1389
Nice & Slow - Radio Version,"{' urban contemporary', ' south carolina hip hop', ' r&b', ' rap', 'dance pop', ' contemporary r&b', ' atl hip hop', ' pop'}",8,3326,26608
The Happiest Girl In The Whole U.S.A.,{'classic country pop'},1,17,17
Moonglow and Theme from Picnic,"{' easy listening', 'light music'}",2,205,410
More Today Than Yesterday,,0,0,0
The Naughty Lady of Shady Lane,"{' easy listening', 'vocal harmony group'}",2,232,464
I'm The Only One,"{'heartland rock', ' lilith', ' pop rock', ' ectofolk', ' singer-songwriter'}",5,931,4655
My First Kiss (feat. Ke$ha),"{' post-teen pop', ' electropowerpop', ' pop punk', ' pop rap', ' dance pop', 'pop'}",6,1589,9534
Loyal (feat. Lil Wayne & Tyga),"{' trap', ' r&b', ' rap', 'new orleans rap', ' hip hop', ' pop rap'}",6,2442,14652
Back To Back,"{' rap', ' canadian hip hop', ' hip hop', 'toronto rap', ' canadian pop'}",5,1326,6630
Be Careful,"{' rap', 'pop'}",2,1208,2416
Never Keeping Secrets,"{' new jack swing', 'contemporary r&b', ' urban contemporary', ' r&b'}",4,1636,6544
Billie Jean,"{' r&b', 'soul'}",2,955,1910
Take Good Care Of Her,,0,0,0
Power of Love / Love Power,"{'quiet storm', ' soul'}",2,340,680
Closer to Free,,0,0,0
Giving You The Benefit,"{' new jack swing', 'contemporary r&b'}",2,358,716
Big Girls Don't Cry (Personal),"{'dance pop', ' pop'}",2,937,1874
Poison,"{'protopunk', ' detroit rock', ' protopunk', ' glam metal', ' classic rock', ' rock', ' glam rock', ' hard rock', ' metal', ' album rock', 'album rock'}",11,2431,26741
Caramel,"{' philly rap', ' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop', ' dance pop'}",6,2285,13710
Pretend,"{' swing', ' vocal jazz', 'adult standards', ' lounge', ' soul'}",5,638,3190
Your Love Is,"{' christian pop', ' ccm', 'pop worship'}",3,5,15
"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)","{' trap', ' rap', ' new orleans rap', ' hip hop', ' pop rap', 'rap kreyol', ' dance pop'}",7,2352,16464
You Needed Me,"{'canadian country', ' soft rock', ' canadian pop', ' mellow gold', ' classic country pop', ' adult standards'}",6,2168,13008
It's Like That,"{' urban contemporary', ' dirty south rap', ' r&b', ' nyc rap', ' contemporary r&b', ' southern hip hop', 'hip pop', ' atl hip hop', ' pop', ' dance pop'}",10,3459,34590
The Motown Song (with The Temptations),"{'soft rock', ' memphis soul', ' mellow gold', ' motown', ' soul'}",5,1585,7925
What in the World's Come Over You - Remastered 1990,"{' rock-and-roll', ' canadian rockabilly', 'traditional rockabilly', ' doo-wop', ' rockabilly'}",5,606,3030
Smoke! Smoke! Smoke! (That Cigarette),"{' cowboy western', 'western swing'}",2,16,32
Not Afraid,"{' hip hop', ' rap', ' detroit hip hop', 'detroit hip hop', 'hip hop'}",5,1142,5710
That's What Love Can Do - Radio Mix,,0,0,0
Ransom,"{'pluggnb', ' rap', ' melodic rap'}",3,654,1962
The Box,"{'melodic rap', ' trap', ' rap'}",3,967,2901
"For the Love of You, Pts. 1 & 2","{' classic soul', 'quiet storm', ' funk', ' motown', ' soul'}",5,1016,5080
Nice For What,"{' rap', ' canadian hip hop', ' hip hop', 'toronto rap', ' canadian pop'}",5,1326,6630
Boogie Woogie Bugle Boy,"{' adult standards', 'new wave pop', ' soft rock'}",3,1519,4557
He Loves You Not,{'girl group'},1,16,16
I Keep Forgettin' (Every Time You're Near),"{' mellow gold', 'soft rock', ' yacht rock'}",3,1114,3342
Déjà Vu (Uptown Baby),{'bronx hip hop'},1,4,4
Send For Me,"{' swing', ' vocal jazz', 'adult standards', ' lounge', ' soul'}",5,638,3190
The Horse,{'instrumental soul'},1,74,74
Good Luck Charm,"{' rock-and-roll', 'rock-and-roll', ' rockabilly', 'rockabilly'}",4,766,3064
Diana,"{'adult standards', ' canadian pop', ' easy listening'}",3,475,1425
Waiting On the World to Change,"{'neo mellow', ' singer-songwriter'}",2,498,996
you broke me first,"{' alt z', 'pop'}",2,597,1194
All I Have to Do Is Dream,"{' rock-and-roll', 'folk rock', ' sunshine pop', 'rockabilly', ' mellow gold', ' folk rock', ' adult standards', ' rockabilly'}",8,2288,18304
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)","{' funk', 'soul', ' disco'}",3,847,2541
Blueberry Hill,"{' rock-and-roll', ' louisiana blues', ' new orleans blues', 'rockabilly', ' piano blues'}",5,488,2440
Battlefield,"{' post-teen pop', ' dance pop', 'pop'}",3,1183,3549
Take My Breath - Single Version,"{' canadian contemporary r&b', ' canadian pop', 'pop'}",3,777,2331
Need to Know,"{' dance pop', 'pop'}",2,1142,2284
Kokomo,"{' psychedelic rock', ' sunshine pop', ' rock', ' classic rock', ' mellow gold', ' folk rock', 'baroque pop'}",7,2463,17241
Just Like Jesse James,"{'pop', 'dance pop', ' dance pop', ' pop'}",4,2079,8316
Drop It Like It's Hot,"{' rap', 'gangster rap', ' hip hop', ' g funk', ' west coast rap', ' pop rap', ' pop', ' dance pop'}",8,2894,23152
Only God Knows Why,{'nu metal'},1,16,16
When It's Over - David Kahne Main,"{' alternative metal', 'pop rock', ' funk metal', ' post-grunge'}",4,212,848
Because - 2019 - Remaster,"{'british invasion', ' merseybeat'}",2,145,290
Paper Roses,{'deep adult standards'},1,52,52
Color Him Father,,0,0,0
Down Yonder,"{'old west', ' honky-tonk piano'}",2,6,12
Sha-La-La (Make Me Happy),"{' classic soul', 'soul', ' soul blues', ' southern soul', ' funk', ' memphis soul'}",6,1079,6474
Birthday Cake,"{'pop', ' urban contemporary', 'urban contemporary', ' pop', ' barbadian pop'}",5,1885,9425
Cherish,"{'dance pop', ' pop'}",2,937,1874
Dance Ballerina Dance,"{'swing', ' british dance band', ' deep adult standards', ' vaudeville'}",4,90,360
Cara Mia,"{' classic garage rock', ' rock-and-roll', 'doo-wop', ' bubblegum pop', ' merseybeat'}",5,784,3920
Time After Time,"{' permanent wave', ' new wave pop', 'dance pop', ' soft rock'}",4,1546,6184
"A Little Bit Me, a Little Bit You","{' rock-and-roll', ' album rock', ' singer-songwriter', ' heartland rock', ' bubblegum pop', ' soft rock', 'folk rock', ' sunshine pop', ' classic rock', ' mellow gold', ' beatlesque'}",11,4118,45298
24/7,{'contemporary r&b'},1,171,171
"1,2,3 Red Light","{'classic garage rock', ' bubblegum pop', ' merseybeat'}",3,305,915
Starboy,"{' filter house', ' canadian pop', 'rock', ' canadian contemporary r&b', ' pop', ' electro'}",6,920,5520
Love Somebody,{'pop'},1,588,588
Not Over You,"{'neo mellow', ' pop rock'}",2,195,390
Speed of Sound,"{'permanent wave', ' pop'}",2,597,1194
Beauty And A Beat,"{' queens hip hop', ' rap', ' canadian pop', ' pop', 'hip pop'}",5,1602,8010
Fireflies,"{' indietronica', 'pop'}",2,608,1216
So Gone,"{' contemporary r&b', ' urban contemporary', ' r&b', 'hip pop'}",4,1718,6872
You And Me Against The World,"{' adult standards', 'mellow gold', ' soft rock', ' bubblegum pop'}",4,1406,5624
Shortie Like Mine (feat. Chris Brown & Johntá Austin),"{' urban contemporary', ' dirty south rap', ' trap', ' r&b', ' rap', ' southern hip hop', ' pop rap', 'hip pop', ' dance pop'}",9,3702,33318
If It Makes You Happy,"{' permanent wave', 'lilith', ' pop rock', ' singer-songwriter', ' new wave pop'}",5,964,4820
If I Ain't Got You,"{' r&b', ' pop', 'neo soul'}",3,1262,3786
Back in Blood (feat. Lil Durk),"{'chicago drill', ' trap', ' rap', ' chicago rap', ' tennessee hip hop', ' hip hop', ' memphis hip hop', ' drill'}",8,1446,11568
Sideshow,"{' classic soul', 'soul', ' southern soul', ' funk', ' quiet storm', ' motown', ' philly soul'}",7,1493,10451
I Do (Cherish You),{'boy band'},1,22,22
Sad Movies Make Me Cry,{'deep adult standards'},1,52,52
Kiss and Say Goodbye,"{' classic soul', 'soul', ' funk', ' quiet storm', ' disco', ' motown', ' philly soul'}",7,1647,11529
LoveGame,"{' art pop', ' dance pop', 'pop'}",3,1171,3513
People Are Crazy,"{' country', ' contemporary country', 'country road'}",3,451,1353
I Wanna Dance with Somebody (Who Loves Me),{'dance pop'},1,359,359
Jesus Walks,"{' hip hop', 'chicago rap', ' rap'}",3,1117,3351
Tiger,,0,0,0
That's The Way I've Always Heard It Should Be,"{'heartland rock', ' soft rock', ' classic rock', ' mellow gold', ' folk rock', ' singer-songwriter', ' folk'}",7,3287,23009
Goodbye Baby,"{' rock-and-roll', ' canadian rockabilly', 'traditional rockabilly', ' doo-wop', ' rockabilly'}",5,606,3030
Southern Nights,"{' soft rock', ' nashville sound', ' mellow gold', ' classic country pop', ' folk rock', ' singer-songwriter', 'arkansas country', ' adult standards'}",8,2694,21552
Swearin' to God - Single Version,"{' bubblegum pop', ' adult standards', ' lounge', 'rock-and-roll'}",4,809,3236
A Million To One,,0,0,0
Young Girl,"{' rock-and-roll', ' folk rock', ' bubblegum pop', ' rockabilly', ' merseybeat', ' soft rock', 'folk rock', ' mellow gold', 'rock-and-roll', ' country rock', ' adult standards'}",11,3571,39281
